dataset,cp,ctree,forest,student(tree),student(forest),classifier
s1,4.8252472125829025,4.648475942956919,4.372427243770249,5.026773168581554,6.965995075061779,2.9107736807142404
s2,3.086047401550723,3.9821485400776866,4.437385047017781,4.168216303991368,5.664783027921857,2.693757301807511
s3,6.23277896171521,5.805278782777958,5.498717893928475,6.124842577870114,8.413765828489671,3.204873749221489
test,5.458481934083411,5.414945559926599,5.21563328622005,5.206006123291674,9.032118584462191,3.7979535659975587
bike,0.9941743552636872,0.9077748550298074,0.9428067045339164,1.0325313071730622,0.8532109438364716,0.40261607585887066
bio,2.5273102255926014,2.425046898736462,2.271925092074185,3.02815252123871,2.1551105147195564,0.6827978098095732
community,2.8593327355881533,2.5359685283703106,2.53501438698416,4.824755931278505,2.699103406210752,1.0785993040661974
concrete,0.7624749679588578,0.8009088896871901,0.775752872720313,0.9975107839425237,0.8794971328833776,0.40283425063364736
homes,0.8331883422490008,0.8468753955888764,0.864003469046315,1.065032374375836,0.8293788535771865,0.390618649042535
star,0.23583014977658964,0.23814982589870132,0.24448309402786358,0.30357133325081465,0.2623568131686004,0.11389837486571133
